year,version,statefips,countyfips,geocat,agecat,racecat,sexcat,iprcat,NIPR,nipr_moe,NUI,nui_moe,NIC,nic_moe,PCTUI,pctui_moe,PCTIC,pctic_moe,PCTELIG,pctelig_moe,PCTLIIC,pctliic_moe,state_name,county_name,expansion_group,treated,post,treat_post
2022,        ,38,0,40,0,0,0,0,625004,       0,44971,    3234,580033,    3234,7.2,0.5, 92.8,  0.5,  7.2,  0.5, 92.8,  0.5,North Dakota,                                                                      ,expansion_2014,1,1,1
2022,        ,39,0,40,0,0,0,0,9410124,       0,667791,   18951,8742333,   18951,7.1,0.2, 92.9,  0.2,  7.1,  0.2, 92.9,  0.2,Ohio,                                                                      ,expansion_2014,1,1,1
2022,        ,41,0,40,0,0,0,0,3396507,       0,250887,   10628,3145620,   10628,7.4,0.3, 92.6,  0.3,  7.4,  0.3, 92.6,  0.3,Oregon,                                                                      ,expansion_2014,1,1,1
2022,        ,44,0,40,0,0,0,0,857861,       0,44563,    4729,813298,    4729,5.2,0.6, 94.8,  0.6,  5.2,  0.6, 94.8,  0.6,Rhode Island,                                                                      ,expansion_2014,1,1,1
2022,        ,45,0,40,0,0,0,0,4132809,       0,453779,   14863,3679030,   14863,11.0,0.4, 89.0,  0.4, 11.0,  0.4, 89.0,  0.4,South Carolina,                                                                      ,never_expanded,0,1,0
2022,        ,47,0,40,0,0,0,0,5704760,       0,632039,   18051,5072721,   18051,11.1,0.3, 88.9,  0.3, 11.1,  0.3, 88.9,  0.3,Tennessee,                                                                      ,never_expanded,0,1,0
2022,        ,48,0,40,0,0,0,0,25350022,       0,4760829,   58480,20589193,   58480,18.8,0.2, 81.2,  0.2, 18.8,  0.2, 81.2,  0.2,Texas,                                                                      ,never_expanded,0,1,0
2022,        ,50,0,40,0,0,0,0,492073,       0,24018,    2530,468055,    2530,4.9,0.5, 95.1,  0.5,  4.9,  0.5, 95.1,  0.5,Vermont,                                                                      ,expansion_2014,1,1,1
2022,        ,53,0,40,0,0,0,0,6434034,       0,465936,   14683,5968098,   14683,7.2,0.2, 92.8,  0.2,  7.2,  0.2, 92.8,  0.2,Washington,                                                                      ,expansion_2014,1,1,1
2022,        ,54,0,40,0,0,0,0,1365686,       0,101230,    6427,1264456,    6427,7.4,0.5, 92.6,  0.5,  7.4,  0.5, 92.6,  0.5,West Virginia,                                                                      ,expansion_2014,1,1,1
2022,        ,55,0,40,0,0,0,0,4696084,       0,296209,    9866,4399875,    9866,6.3,0.2, 93.7,  0.2,  6.3,  0.2, 93.7,  0.2,Wisconsin,                                                                      ,never_expanded,0,1,0
2022,        ,56,0,40,0,0,0,0,463671,       0,65350,    4282,398321,    4282,14.1,0.9, 85.9,  0.9, 14.1,  0.9, 85.9,  0.9,Wyoming,                                                                      ,never_expanded,0,1,0
2023,        ,1,0,40,0,0,0,0,4025340,       0,411580,   13608,3613760,   13608,10.2,0.3, 89.8,  0.3, 10.2,  0.3, 89.8,  0.3,Alabama,                                                                      ,never_expanded,0,1,0
2023,        ,4,0,40,0,0,0,0,5829783,       0,723083,   20158,5106700,   20158,12.4,0.3, 87.6,  0.3, 12.4,  0.3, 87.6,  0.3,Arizona,                                                                      ,expansion_2014,1,1,1
2023,        ,5,0,40,0,0,0,0,2441787,       0,260444,   10365,2181343,   10365,10.7,0.4, 89.3,  0.4, 10.7,  0.4, 89.3,  0.4,Arkansas,                                                                      ,expansion_2014,1,1,1
2023,        ,6,0,40,0,0,0,0,32104842,       0,2397724,   40592,29707118,   40592,7.5,0.1, 92.5,  0.1,  7.5,  0.1, 92.5,  0.1,California,                                                                      ,expansion_2014,1,1,1
2023,        ,8,0,40,0,0,0,0,4867105,       0,386417,   14300,4480688,   14300,7.9,0.3, 92.1,  0.3,  7.9,  0.3, 92.1,  0.3,Colorado,                                                                      ,expansion_2014,1,1,1
